,Solution_clusters,Lens,Component Name,Average loss,Mean CDGs,Min CDGs,Max CDGs,Mean Sub Clust,Min Sub Clust,Max Sub Clust
0,"{1936, 1937, 1938, 1939, 1940, 1943}",6,0.0,-0.781062607077614,5.0,5.0,5.0,11.5,11,12
1,"{1569, 1586, 1572}",3,2.0,-0.7747568828230115,8.0,8.0,8.0,5.0,5,5
2,{601},1,,-0.7726541946281821,5.0,5.0,5.0,42.0,42,42
3,"{1582, 1584, 1588, 1589, 1591}",5,4.0,-0.7715642153787716,9.0,9.0,9.0,4.0,4,4
4,{1592},1,,-0.7702726160401008,6.0,6.0,6.0,10.0,10,10
5,"{1596, 1599}",2,6.0,-0.7686753644110083,8.0,8.0,8.0,4.0,4,4
6,"{952, 957, 958}",3,5.0,-0.767826511921172,11.0,11.0,11.0,7.0,7,7
7,{956},1,,-0.7676792839686176,12.0,12.0,12.0,8.0,8,8
8,"{152, 608, 605}",3,3.0,-0.7655307466072793,6.0,6.0,6.0,5.666666666666667,5,6
9,{960},1,,-0.7640428207297202,15.0,15.0,15.0,5.0,5,5
10,{967},1,,-0.7610122157605808,14.0,14.0,14.0,12.0,12,12
11,"{953, 954, 990}",3,7.0,-0.7598554085978283,12.0,12.0,12.0,4.666666666666667,4,5
12,{665},1,,-0.7598512394570569,10.0,10.0,10.0,5.0,5,5
13,{968},1,,-0.7591009581806802,5.0,5.0,5.0,6.0,6,6
14,{163},1,,-0.758772307514553,5.0,5.0,5.0,12.0,12,12
15,{164},1,,-0.7586834392864726,14.0,14.0,14.0,4.0,4,4
16,{165},1,,-0.7586834392864726,14.0,14.0,14.0,4.0,4,4
17,{969},1,,-0.7582521165546962,5.0,5.0,5.0,8.0,8,8
18,{166},1,,-0.7578820769650356,6.0,6.0,6.0,4.0,4,4
19,{972},1,,-0.756471122180297,10.0,10.0,10.0,5.0,5,5
20,{1072},1,,-0.7548008526547463,8.0,8.0,8.0,4.0,4,4
21,{974},1,,-0.7546532650840603,7.0,7.0,7.0,7.0,7,7
22,{677},1,,-0.7545993513125755,6.0,6.0,6.0,11.0,11,11
23,{975},1,,-0.7545966754015407,7.0,7.0,7.0,4.0,4,4
24,{171},1,,-0.7545632486709833,13.0,13.0,13.0,4.0,4,4
25,{679},1,,-0.7542858835645653,15.0,15.0,15.0,5.0,5,5
26,{612},1,,-0.7527964671761932,5.0,5.0,5.0,4.0,4,4
27,{977},1,,-0.7526284207634949,8.0,8.0,8.0,7.0,7,7
28,{173},1,,-0.7504006006623862,5.0,5.0,5.0,10.0,10,10
29,"{172, 174}",2,10.0,-0.750294174707314,7.0,7.0,7.0,5.0,5,5
30,"{962, 987, 989}",3,9.0,-0.7495486537996813,14.0,14.0,14.0,4.333333333333333,4,5
31,{621},1,,-0.7485687595196701,5.0,5.0,5.0,9.0,9,9
32,{409},1,,-0.7474189936249556,10.0,10.0,10.0,4.0,4,4
33,{984},1,,-0.7473612361661942,5.0,5.0,5.0,4.0,4,4
34,{697},1,,-0.7472372219125957,12.0,12.0,12.0,7.0,7,7
35,{698},1,,-0.7471123148743242,13.0,13.0,13.0,7.0,7,7
36,{622},1,,-0.7456241627570657,6.0,6.0,6.0,57.0,57,57
37,{183},1,,-0.7420108720920889,6.0,6.0,6.0,13.0,13,13
38,"{187, 181}",2,11.0,-0.7419679972837215,7.0,7.0,7.0,4.0,4,4
39,{184},1,,-0.7412741982428769,5.0,5.0,5.0,5.0,5,5
40,{185},1,,-0.7412617683997542,5.0,5.0,5.0,6.0,6,6
41,{629},1,,-0.7410634927724973,6.0,6.0,6.0,25.0,25,25
42,{413},1,,-0.7400003082044584,5.0,5.0,5.0,4.0,4,4
43,{188},1,,-0.7397937693183523,5.0,5.0,5.0,7.0,7,7
44,{189},1,,-0.7383124780366545,5.0,5.0,5.0,5.0,5,5
45,{191},1,,-0.7371271119628493,7.0,7.0,7.0,5.0,5,5
46,{192},1,,-0.7367469768955013,8.0,8.0,8.0,4.0,4,4
47,"{632, 642}",2,12.0,-0.736564795876144,5.0,5.0,5.0,16.0,14,18
48,{419},1,,-0.7365064432464415,5.0,5.0,5.0,5.0,5,5
49,"{955, 1276}",2,8.0,-0.7363384067608325,6.0,6.0,6.0,4.0,4,4
50,{193},1,,-0.7361671193227185,8.0,8.0,8.0,8.0,8,8
51,{636},1,,-0.735890769086071,5.0,5.0,5.0,6.0,6,6
52,"{996, 997}",2,13.0,-0.7349861583647862,10.0,10.0,10.0,4.0,4,4
53,{998},1,,-0.7344996787299748,7.0,7.0,7.0,21.0,21,21
54,{199},1,,-0.7344709249903907,10.0,10.0,10.0,4.0,4,4
55,{647},1,,-0.7297824113314929,9.0,9.0,9.0,4.0,4,4
56,"{1417, 1947, 1420, 1428}",4,1.0,-0.7264539854389269,7.0,7.0,7.0,11.75,11,14
57,{431},1,,-0.7189363286419249,5.0,5.0,5.0,4.0,4,4
58,{433},1,,-0.7142314741120459,15.0,15.0,15.0,4.0,4,4
59,"{434, 435}",2,14.0,-0.7142089841314703,11.0,11.0,11.0,7.0,7,7
60,{437},1,,-0.7134620381556503,10.0,10.0,10.0,5.0,5,5
61,{1416},1,,-0.7111899883932791,8.0,8.0,8.0,5.0,5,5
62,{1421},1,,-0.70961185602496,7.0,7.0,7.0,21.0,21,21
63,{442},1,,-0.7070122800197001,9.0,9.0,9.0,4.0,4,4
64,{444},1,,-0.7060127581873866,7.0,7.0,7.0,4.0,4,4
65,{1425},1,,-0.7060041611546671,8.0,8.0,8.0,10.0,10,10
66,{446},1,,-0.7037778989323402,6.0,6.0,6.0,6.0,6,6
67,{448},1,,-0.7034000586694512,6.0,6.0,6.0,4.0,4,4
68,{1431},1,,-0.7032671835411783,8.0,8.0,8.0,4.0,4,4
69,{1430},1,,-0.7032671835411783,8.0,8.0,8.0,4.0,4,4
70,{1432},1,,-0.7031325031485767,6.0,6.0,6.0,7.0,7,7
