,Solution_clusters,Lens,Component Name,Average loss,Mean CDGs,Min CDGs,Max CDGs,Mean Sub Clust,Min Sub Clust,Max Sub Clust
0,{51},1,,-0.7954824532515145,5.0,5.0,5.0,12.0,12,12
1,{2352},1,,-0.7929974706640334,5.0,5.0,5.0,22.0,22,22
2,"{50, 54}",2,1.0,-0.7923712427363905,5.0,5.0,5.0,16.0,16,16
3,{1702},1,,-0.7903333150621182,6.0,6.0,6.0,31.0,31,31
4,"{576, 550, 553, 554, 651}",5,0.0,-0.790113506285036,5.0,5.0,5.0,8.2,8,9
5,"{560, 561, 557}",3,3.0,-0.7840126012196258,5.0,5.0,5.0,5.666666666666667,5,6
6,"{552, 555, 1707, 1708, 562, 564, 565, 55, 570}",9,2.0,-0.7837762426253901,5.111111111111111,5.0,6.0,21.11111111111111,17,26
7,"{1552, 1554}",2,5.0,-0.778910913889713,5.0,5.0,5.0,35.0,27,43
8,{572},1,,-0.7786448772088184,5.0,5.0,5.0,4.0,4,4
9,"{2368, 2369, 2370, 2371, 558, 559, 1714, 53, 2366, 2367}",10,4.0,-0.778374507046287,5.0,5.0,5.0,11.2,9,16
10,{2363},1,,-0.7780505070998682,5.0,5.0,5.0,11.0,11,11
11,"{1709, 1710, 1711}",3,6.0,-0.7778460384063494,6.0,6.0,6.0,15.666666666666666,11,18
12,{1712},1,,-0.7775954418245722,6.0,6.0,6.0,20.0,20,20
